_id,date,CO_moyen,PM2.5_moyen
65709bbb119ba6d28706c00f,2022-12-07,0.288612261,7.41809153
65709bbb119ba6d28706c010,2022-12-08,0.3926428583,8.5597671875
65709bbb119ba6d28706c011,2022-12-09,0.4875088154,6.7655017792
65709bbb119ba6d28706c012,2022-12-10,0.4952408017,4.9590053792
65709bbb119ba6d28706c013,2022-12-11,0.3840152842,2.5034946423
65709bbb119ba6d28706c014,2022-12-12,0.5062102717,7.4639784875
65709bbb119ba6d28706c015,2022-12-13,0.4839292867,6.3008064917
65709bbb119ba6d28706c016,2022-12-14,0.4773668046,4.515591375
65709bbb119ba6d28706c017,2022-12-15,0.5963747513,8.6648297333
65709bbb119ba6d28706c018,2022-12-16,0.5374712958,2.5293010875
65709bbb119ba6d28706c019,2022-12-17,0.4898196058,3.9013889125
65709bbb119ba6d28706c01a,2022-12-18,0.3774573158,3.886290325
65709bbb119ba6d28706c01b,2022-12-19,0.5027844429,10.430241875
65709bbb119ba6d28706c01c,2022-12-20,0.5900764458,19.0758512083
65709bbb119ba6d28706c01d,2022-12-21,0.4486138512,7.9756273292
65709bbb119ba6d28706c01e,2022-12-22,0.5347190954,16.6798389583
65709bbb119ba6d28706c01f,2022-12-23,0.4866288233,14.4058439042
65709bbb119ba6d28706c020,2022-12-24,0.5684245321,16.8463966542
65709bbb119ba6d28706c021,2022-12-25,0.4460388867,9.9983172083
65709bbb119ba6d28706c022,2022-12-26,0.3271288846,5.362455175
65709bbb119ba6d28706c023,2022-12-27,0.3718385646,4.1929659792
65709bbb119ba6d28706c024,2022-12-28,0.2683047958,4.831137975
65709bbb119ba6d28706c025,2022-12-29,0.2440441775,3.0199373042
65709bbb119ba6d28706c026,2022-12-30,0.3157686488,4.5103046542
65709bbb119ba6d28706c027,2022-12-31,0.3688588688,13.9736558542
65709bbb119ba6d28706c028,2023-01-01,0.2814637629,15.9353439583
65709bbb119ba6d28706c029,2023-01-02,0.2856272729,8.526971325
65709bbb119ba6d28706c02a,2023-01-03,0.3457040221,13.125672
65709bbb119ba6d28706c02b,2023-01-04,0.2928636008,14.2041665417
65709bbb119ba6d28706c02c,2023-01-05,0.2706383227,7.5133960667
65709bbb119ba6d28706c02d,2023-01-06,0.2471685971,7.6027478
65709bbb119ba6d28706c02e,2023-01-07,0.3220310025,13.4866936417
65709bbb119ba6d28706c02f,2023-01-08,0.3196032721,4.0107975083
65709bbb119ba6d28706c030,2023-01-09,0.2609822787,3.0970693975
65709bbb119ba6d28706c031,2023-01-10,0.2973903604,5.1813424083
65709bbb119ba6d28706c032,2023-01-11,0.3219432783,7.9311507458
65709bbb119ba6d28706c033,2023-01-12,0.3467193842,6.6391180446
65709bbb119ba6d28706c034,2023-01-13,0.42182149,12.92433255
65709bbb119ba6d28706c035,2023-01-14,0.4432786075,16.2332436542
65709bbb119ba6d28706c036,2023-01-15,0.4460420004,15.3467742083
65709bbb119ba6d28706c037,2023-01-16,0.362174557,3.24833338
65709bbb119ba6d28706c038,2023-01-20,1.5556222,10.944445
65709bbb119ba6d28706c039,2023-01-30,0.2542738977,6.0405017667
65709bbb119ba6d28706c03a,2023-01-31,0.3770662354,8.1109098625
65709bbb119ba6d28706c03b,2023-02-01,0.5176076259,10.8360864875
65709bbb119ba6d28706c03c,2023-02-02,0.172386467,6.3462495083
65709bbb119ba6d28706c03d,2023-02-03,0.1478606517,7.329525125
65709bbb119ba6d28706c03e,2023-02-04,0.1522746453,6.6807081208
65709bbb119ba6d28706c03f,2023-02-05,0.1073209794,7.7255376792
65709bbb119ba6d28706c040,2023-02-06,-0.0028019625,5.5489663667
65709bbb119ba6d28706c041,2023-02-07,0.0671445206,7.4054365833
65709bbb119ba6d28706c042,2023-02-08,0.0930788778,6.8614246583
65709bbb119ba6d28706c043,2023-02-09,0.0558395293,5.75569615
65709bbb119ba6d28706c044,2023-02-10,-0.0112477618,6.2388889125
65709bbb119ba6d28706c045,2023-02-11,-0.0958020959,9.6129030042
65709bbb119ba6d28706c046,2023-02-12,0.0721798582,9.4150705
65709bbb119ba6d28706c047,2023-02-13,0.0097762154,9.9479262143
65709bbb119ba6d28706c048,2023-02-15,-0.3163393353,14.7093435833
65709bbb119ba6d28706c049,2023-02-16,-0.1548470407,19.2742383333
65709bbb119ba6d28706c04a,2023-02-17,-0.1340384998,22.4356631667
65709bbb119ba6d28706c04b,2023-02-18,-0.240489817,25.2326166667
65709bbb119ba6d28706c04c,2023-02-19,-0.122703331,31.5272001667
65709bbb119ba6d28706c04d,2023-02-20,-0.2216426043,22.7071684167
65709bbb119ba6d28706c04e,2023-02-21,-0.2488268231,22.61629425
65709bbb119ba6d28706c04f,2023-02-22,-0.2638356598,21.2829796667
65709bbb119ba6d28706c050,2023-02-23,-0.2761737759,19.1222715417
65709bbb119ba6d28706c051,2023-02-24,-0.2764179774,16.573559
65709bbb119ba6d28706c052,2023-03-01,-0.5605130943,6.6954931857
65709bbb119ba6d28706c053,2023-03-02,-0.427454015,7.9755282833
65709bbb119ba6d28706c054,2023-03-03,-0.32421477,7.3176522708
65709bbb119ba6d28706c055,2023-03-04,-0.2766405571,12.4693659708
65709bbb119ba6d28706c056,2023-03-05,-0.3688446684,6.0703882125
65709bbb119ba6d28706c057,2023-03-06,-0.3062444371,8.0632168375
65709bbb119ba6d28706c058,2023-03-07,-0.0800493273,10.1085867917
65709bbb119ba6d28706c059,2023-03-08,-0.2421786846,7.86426205
65709bbb119ba6d28706c05a,2023-03-09,-0.2450128672,5.8819444542
65709bbb119ba6d28706c05b,2023-03-10,0.0069310881,14.668010325
65709bbb119ba6d28706c05c,2023-03-11,-0.181153889,13.6241834292
65709bbb119ba6d28706c05d,2023-03-12,-0.0578605089,9.5789828056
65709bbb119ba6d28706c05e,2023-03-13,-0.4903591707,4.5708141643
65709bbb119ba6d28706c05f,2023-03-14,-0.3556547725,4.474731175
65709bbb119ba6d28706c060,2023-03-15,-0.5527368921,3.9539170643
65709bbb119ba6d28706c061,2023-03-16,-0.4974148754,5.2523745833
65709bbb119ba6d28706c062,2023-03-17,-0.4322781829,6.275940875
65709bbb119ba6d28706c063,2023-03-18,-0.3461489825,4.5797043708
65709bbb119ba6d28706c064,2023-03-19,-0.4770767562,2.7138888958
65709bbb119ba6d28706c065,2023-03-20,-0.4911364012,2.5950613542
65709bbb119ba6d28706c066,2023-03-21,-0.4996435983,3.0952508667
65709bbb119ba6d28706c067,2023-03-22,-0.4080992071,3.9943997042
65709bbb119ba6d28706c068,2023-03-23,-0.3429538078,7.1967476833
65709bbb119ba6d28706c069,2023-03-24,-0.4603470646,3.3003584458
65709bbb119ba6d28706c06a,2023-03-25,-0.41122962,5.1259630045
65709bbb119ba6d28706c06b,2023-03-26,-0.4365614495,5.5484848636
65709bbb119ba6d28706c06c,2023-03-27,-0.5258588938,3.5188619667
65709bbb119ba6d28706c06d,2023-03-28,-0.4471796782,9.6487055182
65709bbb119ba6d28706c06e,2023-03-29,-0.6560045667,1.3342912
65709bbb119ba6d28706c06f,2023-03-30,-0.4283499712,4.9704301208
65709bbb119ba6d28706c070,2023-03-31,-0.3598025693,3.7301970792
65709bbb119ba6d28706c071,2023-04-01,-0.3616727308,5.3494175083
65709bbb119ba6d28706c072,2023-04-02,-0.4400533104,3.3526433667
65709bbb119ba6d28706c073,2023-04-03,-0.3270415458,3.9517024917
65709bbb119ba6d28706c074,2023-04-04,-0.2156024229,4.9580196833
65709bbb119ba6d28706c075,2023-04-05,-0.2890733121,3.2293906958
65709bbb119ba6d28706c076,2023-04-06,-0.3205263546,3.3745519792
65709bbb119ba6d28706c077,2023-04-07,-0.3361976958,1.9296755
65709bbb119ba6d28706c078,2023-04-08,-0.3247756546,4.2329845
65709bbb119ba6d28706c079,2023-04-09,-0.3645502829,3.5656975292
65709bbb119ba6d28706c07a,2023-04-10,-0.3928838946,1.9947362083
65709bbb119ba6d28706c07b,2023-04-11,-0.0944906297,4.3511495111
65709bbb119ba6d28706c07c,2023-04-12,-0.0157385635,3.6759856417
65709bbb119ba6d28706c07d,2023-04-13,-0.1901962071,4.2661289458
65709bbb119ba6d28706c07e,2023-04-14,-0.179793075,2.9533602292
65709bbb119ba6d28706c07f,2023-04-15,-0.2708613433,3.2483871083
65709bbb119ba6d28706c080,2023-04-16,-0.27565835,3.64466845
65709bbb119ba6d28706c081,2023-04-17,-0.2325770694,2.8476254417
65709bbb119ba6d28706c082,2023-04-18,-0.3327974483,2.9093638125
65709bbb119ba6d28706c083,2023-04-19,-0.2144817083,5.1785842792
65709bbb119ba6d28706c084,2023-04-20,-0.2693409054,3.1300627625
65709bbb119ba6d28706c085,2023-04-21,-0.3065357875,2.6781810208
65709bbb119ba6d28706c086,2023-04-22,-0.4393326354,1.5058691708
65709bbb119ba6d28706c087,2023-04-23,-0.4791631142,4.8559588292
65709bbb119ba6d28706c088,2023-04-24,-0.3148238594,2.9211917458
65709bbb119ba6d28706c089,2023-04-25,-0.3366928852,4.2502805609
65709bbb119ba6d28706c08a,2023-04-26,-0.3035060162,4.1818548625
65709bbb119ba6d28706c08b,2023-04-27,-0.2799917654,3.010638225
65709bbb119ba6d28706c08c,2023-04-28,-0.257059411,2.8182347708
